name,artist,id,popularity,danceability,key,mode,instrumentalness,duration,time_signature,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Ishq Kaminaa,DJ Jiten,1YFTLSuSQ0odUosJIVTvOC,"0
",0.782,5,0,1.3e-05,326839,4,0.972,-7.542,0.148,0.0255,133.967,0.369,0.557
Bhool Ja,Shaan,7pCE1BHlNVbvIuqUEOGAj5,"36
",0.696,0,0,0.000185,214067,4,0.888,-2.285,0.0336,0.0592,120.976,0.131,0.676
Tanha Dil,Shaan,4kO9vFarqUPNwlgFnVNgVh,"44
",0.621,7,0,0.0,291240,4,0.704,-5.293,0.0236,0.101,99.942,0.185,0.366
Sexy Mama,Bombay Rockers,5VG9YmTLrTuhOlhWYDdI8v,"27
",0.83,9,0,1.45e-06,216453,4,0.77,-4.135,0.112,0.483,99.99,0.127,0.927
Ari Ari (Part 1),Bombay Rockers,6dWQ9E5mFjQZA7ujh3wd2Z,"33
",0.758,7,1,0.000154,93760,4,0.918,-2.487,0.108,0.00085,98.071,0.0619,0.721
Rock Tha Party,Bombay Rockers,0NoNwbg1fnrb3DHCZ8We6q,"45
",0.831,8,1,0.0,212653,4,0.728,-4.625,0.0459,0.0865,109.977,0.113,0.896
Dooba Dooba Rehta Hoon,DJ Taral,1vr7wUhTzxWuiCOEtt7qxs,"7
",0.808,0,1,2.5e-05,277525,4,0.818,-6.991,0.0938,0.0283,105.018,0.288,0.625
Ada (Remix),DJ Suketu,25FOlk17vyCoZoEin3HCPu,"0
",0.73,0,0,0.00479,224280,4,0.857,-8.441,0.0606,0.0169,115.015,0.175,0.935
Kya Koob Lagti Ho,DJ Suketu,4ANBrIly3md24kB2GKOrqx,"24
",0.661,9,0,0.0547,363413,4,0.936,-4.852,0.0479,0.00228,130.031,0.0996,0.241
Baras Ja,DJ Suketu,5yjEiBhyqHDDFvQmEOc398,"9
",0.682,1,1,0.725,303507,4,0.838,-7.277,0.0721,0.000655,129.979,0.0583,0.808
Aadat,DJ Suketu,6529TCR5Znq4SUFF1K6Yhu,"25
",0.703,0,0,0.0893,247453,4,0.934,-5.684,0.0332,0.0447,120.036,0.0584,0.82
Who Lamhe,DJ Suketu,2Wi9cUPzDJ7luV2COdzAQb,"32
",0.62,8,0,0.413,285360,4,0.899,-6.57,0.0376,0.00848,119.997,0.217,0.881
Bin Tere Sanam,DJ Suketu,5WmEz1wvZY9zBlFSjXVBWL,"35
",0.727,2,1,0.00874,225880,4,0.966,-5.228,0.0368,0.225,128.986,0.165,0.902
LIYA LIYA CHURA LIYA PART-2 (YAADON KI BARAAT) - RECREATED,ANOUSHA MANCHANDANI,0A4ZbRheBaq9vZwPS8cyZx,"0
",0.687,7,1,0.152,347000,4,0.735,-4.922,0.0309,0.00112,127.994,0.0532,0.42
DUM MARO DUM (HARE RAMA HARE KRISHNA) - RECREATED,Anusha Mani,39otBBHIl1cKqpIqihG20c,"0
",0.695,2,0,0.00177,331280,4,0.804,-5.692,0.0446,0.0527,124.972,0.0652,0.695
LIYA LIYA - CHURA LIYA PART-1 (YAADON KI BARAAT) - RECREATED,ANOUSHA MANCHANDANI,55sLyn4oUwCRGpwiLwOUyr,"0
",0.672,7,1,0.0813,215720,4,0.808,-4.658,0.0323,0.00636,127.976,0.334,0.533
O Sanam,Lucky Ali,3fmaa2vvi8kq1LSX4M2btK,"0
",0.761,7,1,0.124,224493,4,0.475,-13.03,0.0455,0.381,98.035,0.101,0.464
Ultimate Bollywood Workout - Vol 1,Shankar Mahadevan,1FIUPudP2bHpn7f48KpHGK,"0
",0.696,9,1,0.000412,323933,4,0.869,-3.766,0.0648,0.159,93.025,0.0563,0.777
Ultimate Bollywood Workout - Vol 1,Sonu Nigam,6HvVsxeIhGUP60MMZq3ThH,"0
",0.854,9,0,1.49e-06,359253,4,0.746,-8.656,0.115,0.0623,107.981,0.0273,0.862
Ultimate Bollywood Workout - Vol 1,Rehan Khan,3bzWTZ3CV640aZI8l0eHMR,"0
",0.758,6,0,0.00516,349907,4,0.905,-5.466,0.0503,0.0831,104.011,0.0994,0.795
Ultimate Bollywood Workout - Vol 1,Neeraj Shridhar,77dvAkaySQAPYHo7dbkGkM,"0
",0.829,0,1,0.00853,287813,4,0.942,-4.959,0.0396,0.0914,104.827,0.295,0.927
