name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Ice Cream (with Selena Gomez),BLACKPINK,2J4P46vCFm1rPkNkp9pZWX,0.79,0.729,-3.843,0.334,0.0342,159.989,0.0411,0.904
Over Now (with The Weeknd),Calvin Harris,58AGoOGbwsQMhBbH0eFLRR,0.612,0.884,-4.113,0.0454,0.0759,178.043,0.247,0.679
WAP (feat. Megan Thee Stallion),Cardi B,4Oun2ylbjFKMPTiaSbbCih,0.935,0.454,-7.509,0.375,0.0194,133.073,0.0824,0.357
ROCKSTAR (feat. Roddy Ricch),DaBaby,7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,-7.956,0.164,0.247,89.977,0.101,0.497
Dynamite,BTS,0v1x6rN6JHRapa03JElljE,0.746,0.765,-4.41,0.0993,0.0112,114.044,0.0936,0.737
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,-4.209,0.0465,0.122,95.39,0.335,0.557
Mood (feat. Iann Dior),24kGoldn,3tjFYV6RSFtuktYl3ZtYcq,0.7,0.722,-3.558,0.0369,0.221,90.989,0.272,0.756
Breaking Me,Topic,3H7ihDc1dqLriiWXwsc2po,0.789,0.72,-5.652,0.218,0.223,122.031,0.129,0.664
Midnight Sky,Miley Cyrus,27ycaQnQAxaPiyeg3nr2aB,0.705,0.814,-5.466,0.0346,0.00115,110.0,0.203,0.259
Laugh Now Cry Later (feat. Lil Durk),Drake,2SAqBLGA283SUiwJ3xOUVI,0.761,0.518,-8.871,0.134,0.244,133.976,0.107,0.522
Savage Love (Laxed - Siren Beat),Jawsh 685,5T490vvoFNU6psep0NPmxs,0.795,0.48,-8.556,0.0688,0.243,149.919,0.271,0.723
Head & Heart (feat. MNEK),Joel Corry,4wosxLl0mAqhneDzya2MfY,0.732,0.874,-3.158,0.0662,0.168,122.961,0.0489,0.905
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,0EhpEsp4L0oRGM0vmeaN5e,0.571,0.693,-8.234,0.0545,0.00536,168.169,0.173,0.393
Go Crazy,Chris Brown,1IIKrJVP1C9N7iPtG6eOsK,0.755,0.578,-8.932,0.145,0.316,94.148,0.25,0.581
Smile (with The Weeknd),Juice WRLD,6wQlQrTY5mVS8EGaFZVwVF,0.694,0.685,-6.535,0.133,0.224,158.831,0.124,0.306
Hawái,Maluma,4uoR6qeWeuL4Qeu2qJzkuG,0.787,0.728,-3.455,0.389,0.189,180.066,0.0629,0.545
Take You Dancing,Jason Derulo,59qrUpoplZxbIZxk6X0Bm3,0.789,0.711,-4.248,0.041,0.0332,112.985,0.0876,0.753
you broke me first,Tate McRae,45bE4HXI0AwGZXfZtMp8JR,0.642,0.374,-9.386,0.0545,0.786,124.099,0.0906,0.0799
"The Plan - From the Motion Picture ""TENET""",Travis Scott,551xyaSJsg8hILXFq9JdST,0.433,0.443,-10.568,0.0361,0.0922,79.903,0.117,0.0363
"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",Saweetie,5woaU1FNkqCwg6WzWiQPW5,0.948,0.63,-7.011,0.219,0.00647,100.032,0.0737,0.425
Be Like That - feat. Swae Lee & Khalid,Kane Brown,5f1joOtoMeyppIcJGZQvqJ,0.727,0.626,-8.415,0.0726,0.0469,86.97,0.126,0.322
Break My Heart,Dua Lipa,1raaNykBg1bDnWENUiglUA,0.73,0.729,-3.434,0.0886,0.167,113.012,0.349,0.467
Come & Go (with Marshmello),Juice WRLD,7y7w4tl4MaRC2UMEj1mPtr,0.625,0.814,-5.181,0.0657,0.0172,144.991,0.158,0.535
my ex's best friend (with blackbear),Machine Gun Kelly,70rFIfYN7lU6iTgUIVP42w,0.728,0.685,-5.096,0.0433,0.00391,124.934,0.152,0.33
Mood Swings (feat. Lil Tjay),Pop Smoke,5rZlwNFl01HqLWBQGryKSm,0.48,0.602,-6.335,0.368,0.487,179.798,0.0848,0.269
Roses - Imanbek Remix,SAINt JHN,24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,121.975,0.353,0.898
Kings & Queens,Ava Max,76nqCfJOcFFWBJN32PAksn,0.638,0.688,-4.056,0.0407,0.00775,129.856,0.126,0.434
Nobody's Love,Maroon 5,3kwgqoBqTwoAH4nT29TYrq,0.486,0.567,-6.456,0.0379,0.31,93.68,0.0949,0.154
Heather,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,-7.301,0.0333,0.584,102.078,0.322,0.27
my future,Billie Eilish,2ygvZOXrIeVL4xZmAWJT2C,0.444,0.309,-10.956,0.062,0.795,104.745,0.352,0.0875
Be Kind (with Halsey),Marshmello,3Z8FwOEN59mRMxDCtb8N0A,0.63,0.633,-7.088,0.0457,0.00776,93.995,0.0541,0.452
Wishing Well,Juice WRLD,6o3QUC5oAE4g6WxRIFcZtb,0.65,0.613,-6.13,0.128,0.00336,149.972,0.267,0.0804
Lemonade,Internet Money,02kDW379Yfd5PzW5A6vuGt,0.799,0.66,-6.153,0.079,0.256,140.04,0.111,0.471
MAMACITA,Black Eyed Peas,14wf185UxfNbSy8dwt4r4q,0.894,0.635,-6.929,0.0473,0.193,105.013,0.0823,0.428
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,2MbdDtCv5LUVjYy9RuGTgC,0.904,0.723,-5.224,0.26,0.0631,145.013,0.185,0.835
Stunnin',Curtis Waters,2LUdpPCiiza6UQugipjMeS,0.906,0.604,-8.332,0.0746,0.329,99.996,0.255,0.899
"Ay, DiOs Mío!",KAROL G,7x4ASXYEKfQBCewcZhK776,0.718,0.712,-4.366,0.174,0.512,180.034,0.104,0.531
Secrets,Regard,66W1rVTnEv86dIkFhoiElg,0.848,0.768,-5.386,0.0373,0.0412,118.961,0.195,0.777
My Oasis (feat. Burna Boy),Sam Smith,2KoHxhRyWxJzA0VafWd5Nk,0.691,0.474,-8.742,0.0583,0.569,143.783,0.099,0.381
Still Don't Know My Name,Labrinth,6N22FZs2ZhPBYi3b9XPajV,0.314,0.63,-5.963,0.116,0.471,88.244,0.205,0.312
Stuck with U (with Justin Bieber),Ariana Grande,4HBZA5flZLE435QTztThqH,0.597,0.45,-6.658,0.0418,0.223,178.765,0.382,0.537
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,1H7KnK26kc1YyellpbINEn,0.49,0.618,-5.655,0.104,0.0221,99.7,0.259,0.286
Blinding Lights,The Weeknd,0sf12qNH5qcw8qpgymFOqD,0.513,0.796,-4.075,0.0629,0.00147,171.017,0.0938,0.345
Party Girl,StaySolidRocky,5RqR4ZCCKJDcBLIn4sih9l,0.728,0.431,-9.966,0.0622,0.749,130.022,0.0996,0.629
Intentions,Justin Bieber,364dI1bYnvamSnBJ8JcNzN,0.811,0.553,-6.644,0.0552,0.317,148.014,0.105,0.86
cardigan,Taylor Swift,4R2kfaDFhslZEMJqAFNpdd,0.613,0.581,-8.588,0.0424,0.537,130.033,0.25,0.551
7 Summers,Morgan Wallen,0Z0kNthq0sS4lvGz9SSlBF,0.625,0.775,-5.199,0.0248,0.431,101.961,0.12,0.588
Control,Zoe Wees,50Td3qilgs8BLtv8mHyT1t,0.599,0.465,-4.95,0.0314,0.643,113.82,0.149,0.0678
Rain On Me (with Ariana Grande),Lady Gaga,24ySl2hOPGCDcxBxFIqWBu,0.672,0.855,-3.764,0.0397,0.021,123.056,0.323,0.646
Some Say - Felix Jaehn Remix,Nea,7C1trmcQQ5n5RNy4l6ziCv,0.682,0.7,-5.591,0.0397,0.406,120.03,0.174,0.637
Lemonade,Internet Money,02kDW379Yfd5PzW5A6vuGt,0.799,0.66,-6.153,0.079,0.256,140.04,0.111,0.471
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,0PvFJmanyNQMseIFrU708S,0.823,0.586,-6.606,0.2,0.114,125.971,0.193,0.347
Laugh Now Cry Later (feat. Lil Durk),Drake,2SAqBLGA283SUiwJ3xOUVI,0.761,0.518,-8.871,0.134,0.244,133.976,0.107,0.522
Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,2rFsFjq0D9JAmc0APpCO6P,0.761,0.517,-6.916,0.0927,0.114,147.912,0.157,0.46
Rags2Riches 2 (feat. Lil Baby),Rod Wave,0qJeyYAgv6UpvewUxRXAhb,0.874,0.443,-9.628,0.241,0.147,118.004,0.124,0.298
Gifted (feat. Roddy Ricch),Cordae,0mb3uDw5vfFUcZfJYFOMRu,0.653,0.603,-5.697,0.171,0.175,151.016,0.18,0.551
GREECE (feat. Drake),DJ Khaled,35RJhm1pEovTBwnNR0zWad,0.695,0.343,-10.798,0.0432,0.0743,85.84,0.107,0.229
Expensive (feat. Nicki Minaj),Ty Dolla $ign,0IAkpYTRomExXOUJonNMTR,0.862,0.519,-6.901,0.0798,0.0337,99.055,0.0695,0.262
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,2MbdDtCv5LUVjYy9RuGTgC,0.904,0.723,-5.224,0.26,0.0631,145.013,0.185,0.835
WAP (feat. Megan Thee Stallion),Cardi B,4Oun2ylbjFKMPTiaSbbCih,0.935,0.454,-7.509,0.375,0.0194,133.073,0.0824,0.357
"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",Saweetie,5woaU1FNkqCwg6WzWiQPW5,0.948,0.63,-7.011,0.219,0.00647,100.032,0.0737,0.425
DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,3nS9a01VvXHQriLqJYwRqG,0.825,0.458,-7.47,0.0577,0.114,145.115,0.102,0.161
24 (feat. Lil Baby),Money Man,7v96VvFLS0wSYT8kewNLRy,0.868,0.638,-7.746,0.0736,0.146,126.03,0.0931,0.459
Deep Reverence (feat. Nipsey Hussle),Big Sean,7MRCoIgpn1if1BcH9QpI9G,0.662,0.861,-4.759,0.306,0.154,92.047,0.377,0.254
Narrow Road (feat. Lil Baby),NLE Choppa,3GZd1aDsgKL71Kt3VIp0hc,0.614,0.553,-8.225,0.169,0.0306,159.999,0.203,0.161
Patek,Future,76MjtLfZoTNc3BDqUVjuRH,0.801,0.596,-4.72,0.0534,0.00301,120.028,0.162,0.134
Got It On Me,Pop Smoke,25zlnOAzbVoOzIeXSvQFf1,0.688,0.647,-7.258,0.19,0.00815,88.834,0.095,0.195
No Ceilings (feat. Lil Wayne & Jay Gwuapo),A$AP Ferg,1K2JtjX3s8QaEKvsbC1UXX,0.77,0.705,-3.138,0.393,0.137,143.054,0.0992,0.405
We Paid (feat. 42 Dugg),Lil Baby,6gxKUmycQX7uyMwJcweFjp,0.926,0.542,-5.064,0.293,0.135,135.14,0.0877,0.564
Stay Ur Distance,Yo Gotti,3GXDBeiF8ATGHJNWLinWAA,0.832,0.611,-7.337,0.193,0.0091,139.933,0.216,0.682
POPSTAR (feat. Drake),DJ Khaled,6EDO9iiTtwNv6waLwa1UUq,0.8,0.56,-4.818,0.261,0.057,163.071,0.134,0.45
Equinox (feat. Day Sulan),YG,5OYBMBUQfRl8PljvVLBCe7,0.907,0.852,-6.164,0.158,0.0329,103.98,0.299,0.232
Prospect (ft. Lil Baby),iann dior,4Zjdzxx0dsavsr7Ehr8fGE,0.816,0.579,-6.097,0.0867,0.203,120.078,0.127,0.43
Through The Wire,Rod Wave,5DBdAu8Zs7YMWODjuFq6EX,0.752,0.313,-19.736,0.414,0.136,148.034,0.119,0.514
Flex (feat. Juice WRLD),Polo G,2QqJTIlGKRLJC3onkavYEz,0.752,0.673,-5.792,0.153,0.0538,164.009,0.133,0.35
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,1H7KnK26kc1YyellpbINEn,0.49,0.618,-5.655,0.104,0.0221,99.7,0.259,0.286
"The Plan - From the Motion Picture ""TENET""",Travis Scott,551xyaSJsg8hILXFq9JdST,0.433,0.443,-10.568,0.0361,0.0922,79.903,0.117,0.0363
RELENTLESS (feat. Lil Uzi Vert),Gunna,6nDSLDomNqfet6w0r1GHAz,0.881,0.517,-8.916,0.308,0.0115,115.084,0.151,0.786
21,Polo G,3JKgcAa7r07ocVWcV8bS0H,0.783,0.479,-10.646,0.541,0.149,176.027,0.101,0.533
